OrderID,OrderDate,ShipDate,CustomerID,ProductID,Region,Quantity,UnitPrice,Discount,Sales,ShippingCost,Profit,Category,SubCategory
ORD009001,2020-11-28,2020-11-29,C02466,P0092,West,1,123.65,0.2,98.92,6.42,5.44,Home & Kitchen,Decor
ORD009002,2023-10-18,2023-10-23,C01224,P0035,East,3,198.01,0.05,564.33,11.08,55.61,Electronics,Mobile
ORD009003,2020-12-24,2020-12-28,C01488,P0057,North,1,177.09,0.0,177.09,13.04,17.15,Electronics,Audio
ORD009004,2020-08-05,2020-08-07,C00172,P0071,West,2,92.35,0.1,166.23,6.02,38.62,Home & Kitchen,Furniture
ORD009005,2020-01-08,2020-01-12,C01067,P0043,North,1,226.01,0.0,226.01,13.29,20.69,Electronics,Laptop
ORD009006,2023-10-25,2023-10-29,C00897,P0045,East,1,219.18,0.1,197.26,16.9,17.51,Electronics,Laptop
ORD009007,2019-11-21,2019-11-22,C02267,P0004,South,1,55.09,0.0,55.09,4.79,14.98,Fashion,Clothing
ORD009008,2021-11-10,2021-11-14,C02441,P0030,North,1,30.05,0.25,22.54,4.14,-0.99,Fashion,Accessories
ORD009009,2022-01-21,2022-01-23,C00023,P0064,North,1,203.37,0.05,193.2,14.82,15.92,Electronics,Wearable
ORD009010,2023-03-02,2023-03-03,C02968,P0101,Central,2,137.36,0.25,206.04,6.81,31.56,Home & Kitchen,Bedding
ORD009011,2022-11-25,2022-11-26,C00840,P0055,West,1,244.91,0.0,244.91,14.49,35.55,Electronics,Audio
ORD009012,2023-12-06,2023-12-07,C02657,P0025,Central,1,69.95,0.0,69.95,7.7,17.88,Fashion,Accessories
ORD009013,2019-05-10,2019-05-11,C01500,P0096,South,1,81.09,0.05,77.04,9.28,8.47,Home & Kitchen,Decor
ORD009014,2020-11-21,2020-11-24,C01910,P0070,South,1,263.41,0.1,237.07,12.17,35.59,Electronics,Wearable
ORD009015,2020-11-02,2020-11-07,C00332,P0085,East,1,140.59,0.1,126.53,4.57,20.3,Home & Kitchen,Cookware
ORD009016,2019-12-08,2019-12-13,C00558,P0095,South,1,123.98,0.25,92.98,11.69,-1.0,Home & Kitchen,Decor
ORD009017,2020-11-12,2020-11-16,C00780,P0022,South,1,66.6,0.1,59.94,5.53,9.28,Fashion,Accessories
ORD009018,2020-12-04,2020-12-06,C02214,P0087,South,2,68.47,0.05,130.09,4.7,25.73,Home & Kitchen,Cookware
ORD009019,2022-03-05,2022-03-09,C02241,P0071,South,2,92.35,0.05,175.46,4.71,45.47,Home & Kitchen,Furniture
